__sf_row_id,Roll No,Name,Mathematics,Physics,Chemistry,English,Computer Science
0.0,101.0,Aarav Sharma,78.0,82.0,75.0,88.0,91.0
1.0,102.0,Vivaan Patel,65.0,68.6,68.0,74.0,80.0
2.0,103.0,Aditya Verma,89.0,92.0,85.0,81.0,92.6
3.0,104.0,Arjun Nair,56.0,60.0,58.0,66.0,72.0
4.0,105.0,Reyansh Gupta,91.0,87.0,90.0,85.0,93.0
5.0,106.0,Krishna Iyer,73.6,76.0,70.0,79.0,84.0
6.0,107.0,Ishaan Mehta,84.0,88.0,82.0,80.0,89.0
7.0,108.0,Sai Kulkarni,61.0,64.0,63.0,70.0,76.8
8.0,109.0,Rudra Joshi,95.0,94.0,96.0,85.6,98.0
9.0,110.0,Aryan Singh,67.2,72.0,69.0,73.0,77.0
10.0,111.0,Kunal Desai,74.0,79.0,75.0,82.0,86.0
11.0,112.0,Yash Thakur,59.0,62.0,57.0,68.0,71.0
12.0,113.0,Harsh Vyas,88.0,90.0,86.0,84.0,92.0
13.0,114.0,Omkar Jadhav,67.0,71.0,66.0,72.0,79.2
14.0,115.0,Atharva Rao,81.0,85.0,80.0,78.0,87.0
15.0,116.0,Dhruv Menon,53.0,58.0,55.0,61.0,69.0
16.0,117.0,Parth Shah,92.0,95.0,91.0,88.0,97.0
17.0,118.0,Neel Malhotra,69.0,73.0,69.2,75.0,78.0
18.0,119.0,Tanish Kapoor,76.0,80.0,74.0,83.0,85.0
19.0,120.0,Vedant Chavan,66.2,67.0,65.0,71.0,75.2
20.0,121.0,Manav Bhosale,85.0,89.0,84.0,82.0,90.0
21.0,122.0,Samar Yadav,58.0,61.0,60.0,67.0,70.0
22.0,123.0,Rohan Naik,93.0,96.0,92.0,90.0,99.0
23.0,124.0,Dev Agrawal,71.0,74.0,72.0,77.0,81.0
24.0,125.0,Shreyas Patil,79.0,83.0,78.0,84.0,88.0
25.0,126.0,Kabir Anand,55.0,59.0,56.0,63.0,68.0
26.0,127.0,Aniket Pawar,87.0,91.0,86.6,86.0,94.0
27.0,128.0,Nihal Sethi,66.0,69.0,67.0,73.0,76.0
28.0,129.0,Pranav Dixit,82.0,86.0,81.0,79.0,89.0
29.0,130.0,Akshay More,59.2,65.0,64.0,70.0,71.0
30.0,131.0,Sarthak Jain,90.0,93.0,89.0,87.0,96.0
31.0,132.0,Ayaan Fernandes,73.0,77.0,75.0,80.0,83.0
32.0,133.0,Chirag Mishra,57.0,61.6,59.0,65.0,69.0
33.0,134.0,Ritesh Salvi,86.0,88.0,87.0,83.0,91.0
34.0,135.0,Siddharth Kale,70.0,72.0,71.0,76.0,79.0
35.0,136.0,Mohit Kuldeep,83.0,85.0,84.0,81.0,88.0
36.0,137.0,Lakshya Bhat,60.0,65.6,61.0,68.0,72.0
37.0,138.0,Tanmay Shinde,94.0,97.0,93.0,91.0,98.0
38.0,139.0,Keshav Arora,75.0,78.0,76.0,82.0,84.0
39.0,140.0,Uday Rane,63.0,66.0,65.2,69.0,74.0
40.0,141.0,Naman Trivedi,88.0,90.0,89.0,84.6,92.0
41.0,142.0,Varun Pillai,68.0,71.0,69.0,74.0,78.0
42.0,143.0,Abhay Kulkarni,80.0,81.2,79.0,81.2,87.0
43.0,144.0,Tejas Sawant,54.0,57.0,55.0,62.0,67.0
44.0,145.0,Aditya Shetty,91.0,94.0,90.0,88.0,95.0
45.0,146.0,Ronit Gokhale,74.2,75.0,73.0,79.0,83.2
46.0,147.0,Hemant Tiwari,77.0,81.0,78.0,84.0,86.0
47.0,148.0,Jayesh Parmar,59.0,62.0,60.2,66.0,71.0
48.0,149.0,Nikhil Soni,84.0,87.0,83.0,80.0,89.0
49.0,150.0,Piyush Chaturvedi,65.0,68.0,66.0,72.0,75.0
50.0,151.0,Shubham Dubey,89.0,92.0,88.0,86.0,93.0
51.0,152.0,Rahul Choudhary,71.0,74.6,72.0,78.8,81.0
52.0,153.0,Gaurav Bendre,56.0,58.0,57.0,64.0,68.0
53.0,154.0,Chetan Pawaskar,93.0,95.0,92.0,90.0,97.0
54.0,155.0,Adarsh Kulshrestha,74.0,77.0,75.0,80.2,84.0
55.0,156.0,Raghav Talreja,81.0,85.0,83.2,83.0,89.4
56.0,157.0,Deepak Wagh,60.4,64.0,62.0,69.0,73.0
57.0,158.0,Karan Oberoi,87.0,89.0,86.0,84.0,91.0
58.0,159.0,Tushar Mhatre,69.0,72.0,70.0,76.0,79.0
59.0,160.0,Vinay Nambiar,85.0,88.0,84.0,82.0,90.0
60.0,161.0,Sumeet Patankar,58.0,61.0,59.0,67.0,70.0
61.0,162.0,Ruturaj Khedekar,92.0,96.0,87.6,89.0,93.0
62.0,163.0,Aman Kohli,73.0,76.0,74.0,79.0,83.0
63.0,164.0,Bhavesh Solanki,64.0,67.0,65.0,71.0,74.0
64.0,165.0,Jeet Banerjee,87.0,93.0,89.0,87.0,95.0
65.0,166.0,Harshit Purohit,76.0,79.0,77.0,82.0,85.0
66.0,167.0,Lokesh Raut,55.0,57.0,56.0,63.0,67.0
67.0,168.0,Shaurya Bhise,88.0,91.0,87.0,85.0,92.0
68.0,169.0,Yuvraj Chitale,70.0,74.0,71.0,77.0,80.0
69.0,170.0,Madhav Kamat,83.0,86.0,82.0,81.0,90.6
